date,game_name,appid,positive_rate,negative_rate,review_volume
2026-06-25,Cities: Skylines II,949230,0.47,0.53,966
2026-06-26,Cities: Skylines II,949230,0.48,0.52,920
2026-06-27,Cities: Skylines II,949230,0.49,0.51,884
2026-06-28,Cities: Skylines II,949230,0.50,0.50,852
2026-06-29,Cities: Skylines II,949230,0.48,0.52,894
2026-06-30,Cities: Skylines II,949230,0.47,0.53,928
2026-07-01,Cities: Skylines II,949230,0.48,0.52,916
2026-07-02,Cities: Skylines II,949230,0.49,0.51,890
2026-07-03,Cities: Skylines II,949230,0.48,0.52,886
2026-06-04,Helldivers 2,553850,0.74,0.26,1180
2026-06-05,Helldivers 2,553850,0.73,0.27,1204
2026-06-06,Helldivers 2,553850,0.72,0.28,1238
2026-06-07,Helldivers 2,553850,0.70,0.30,1290
2026-06-08,Helldivers 2,553850,0.69,0.31,1425
2026-06-09,Helldivers 2,553850,0.68,0.32,1510
2026-06-10,Helldivers 2,553850,0.66,0.34,1722
2026-06-11,Helldivers 2,553850,0.58,0.42,3290
2026-06-12,Helldivers 2,553850,0.55,0.45,3842
2026-06-13,Helldivers 2,553850,0.59,0.41,3015
2026-06-14,Helldivers 2,553850,0.62,0.38,2388
2026-06-15,Helldivers 2,553850,0.64,0.36,2110
2026-06-16,Helldivers 2,553850,0.65,0.35,1864
2026-06-17,Helldivers 2,553850,0.66,0.34,1738
2026-06-18,Helldivers 2,553850,0.67,0.33,1620
2026-06-19,Helldivers 2,553850,0.66,0.34,1588
2026-06-20,Helldivers 2,553850,0.65,0.35,1542
2026-06-21,Helldivers 2,553850,0.66,0.34,1506
2026-06-22,Helldivers 2,553850,0.67,0.33,1460
2026-06-23,Helldivers 2,553850,0.68,0.32,1436
2026-06-24,Helldivers 2,553850,0.67,0.33,1420
2026-06-25,Helldivers 2,553850,0.66,0.34,1408
2026-06-26,Helldivers 2,553850,0.65,0.35,1428
2026-06-27,Helldivers 2,553850,0.66,0.34,1450
2026-06-28,Helldivers 2,553850,0.67,0.33,1472
2026-06-29,Helldivers 2,553850,0.68,0.32,1496
2026-06-30,Helldivers 2,553850,0.67,0.33,1510
2026-07-01,Helldivers 2,553850,0.66,0.34,1522
2026-07-02,Helldivers 2,553850,0.65,0.35,1538
2026-07-03,Helldivers 2,553850,0.66,0.34,1544
2026-06-04,Stardew Valley,413150,0.95,0.05,512
2026-06-05,Stardew Valley,413150,0.96,0.04,526
2026-06-06,Stardew Valley,413150,0.95,0.05,538
2026-06-07,Stardew Valley,413150,0.96,0.04,552
2026-06-08,Stardew Valley,413150,0.97,0.03,568
2026-06-09,Stardew Valley,413150,0.96,0.04,576
2026-06-10,Stardew Valley,413150,0.95,0.05,588
2026-06-11,Stardew Valley,413150,0.96,0.04,604
2026-06-12,Stardew Valley,413150,0.97,0.03,618
2026-06-13,Stardew Valley,413150,0.96,0.04,630
2026-06-14,Stardew Valley,413150,0.96,0.04,642
2026-06-15,Stardew Valley,413150,0.97,0.03,656
2026-06-16,Stardew Valley,413150,0.96,0.04,668
2026-06-17,Stardew Valley,413150,0.95,0.05,672
2026-06-18,Stardew Valley,413150,0.96,0.04,684
2026-06-19,Stardew Valley,413150,0.97,0.03,696
2026-06-20,Stardew Valley,413150,0.96,0.04,704
2026-06-21,Stardew Valley,413150,0.95,0.05,712
2026-06-22,Stardew Valley,413150,0.96,0.04,720
2026-06-23,Stardew Valley,413150,0.97,0.03,728
2026-06-24,Stardew Valley,413150,0.96,0.04,736
2026-06-25,Stardew Valley,413150,0.95,0.05,742
2026-06-26,Stardew Valley,413150,0.96,0.04,750
2026-06-27,Stardew Valley,413150,0.97,0.03,758
2026-06-28,Stardew Valley,413150,0.96,0.04,766
2026-06-29,Stardew Valley,413150,0.95,0.05,772
2026-06-30,Stardew Valley,413150,0.96,0.04,780
2026-07-01,Stardew Valley,413150,0.97,0.03,788
2026-07-02,Stardew Valley,413150,0.96,0.04,796
2026-07-03,Stardew Valley,413150,0.96,0.04,804
2026-06-04,Dragon's Dogma 2,2054970,0.64,0.36,420
2026-06-05,Dragon's Dogma 2,2054970,0.63,0.37,438
2026-06-06,Dragon's Dogma 2,2054970,0.62,0.38,456
2026-06-07,Dragon's Dogma 2,2054970,0.61,0.39,474
2026-06-08,Dragon's Dogma 2,2054970,0.60,0.40,492
2026-06-09,Dragon's Dogma 2,2054970,0.59,0.41,520
2026-06-10,Dragon's Dogma 2,2054970,0.58,0.42,548
2026-06-11,Dragon's Dogma 2,2054970,0.57,0.43,576
2026-06-12,Dragon's Dogma 2,2054970,0.56,0.44,604
2026-06-13,Dragon's Dogma 2,2054970,0.55,0.45,632
2026-06-14,Dragon's Dogma 2,2054970,0.54,0.46,660
2026-06-15,Dragon's Dogma 2,2054970,0.53,0.47,702
2026-06-16,Dragon's Dogma 2,2054970,0.52,0.48,748
2026-06-17,Dragon's Dogma 2,2054970,0.51,0.49,792
2026-06-18,Dragon's Dogma 2,2054970,0.49,0.51,860
2026-06-19,Dragon's Dogma 2,2054970,0.47,0.53,940
2026-06-20,Dragon's Dogma 2,2054970,0.43,0.57,1260
2026-06-21,Dragon's Dogma 2,2054970,0.35,0.65,3188
2026-06-22,Dragon's Dogma 2,2054970,0.31,0.69,4360
2026-06-23,Dragon's Dogma 2,2054970,0.34,0.66,3824
2026-06-24,Dragon's Dogma 2,2054970,0.37,0.63,2860
2026-06-25,Dragon's Dogma 2,2054970,0.39,0.61,2120
2026-06-26,Dragon's Dogma 2,2054970,0.40,0.60,1780
2026-06-27,Dragon's Dogma 2,2054970,0.41,0.59,1540
2026-06-28,Dragon's Dogma 2,2054970,0.42,0.58,1388
2026-06-29,Dragon's Dogma 2,2054970,0.43,0.57,1272
2026-06-30,Dragon's Dogma 2,2054970,0.42,0.58,1218
2026-07-01,Dragon's Dogma 2,2054970,0.41,0.59,1188
2026-07-02,Dragon's Dogma 2,2054970,0.42,0.58,1164
2026-07-03,Dragon's Dogma 2,2054970,0.42,0.58,1146
